n,|A|,|A+A|,delta,dup_density
1,1,1,-0.5,0.0
2,3,6,-0.16666666666666663,0.0
3,7,18,0.13265306122448978,0.35714285714285715
4,10,37,0.13,0.32727272727272727
5,17,81,0.21972318339100344,0.47058823529411764
6,21,134,0.19614512471655327,0.4199134199134199
7,31,266,0.2232049947970864,0.4637096774193548
8,36,387,0.2013888888888889,0.4189189189189189
9,49,670,0.22094960433152855,0.4530612244897959
10,55,899,0.2028099173553719,0.41623376623376623
11,71,1460,0.21037492560999804,0.4287949921752739
12,78,1853,0.19543063773833003,0.39857189224277834
13,97,2846,0.19752364757147411,0.4012202819272039
14,105,3471,0.18517006802721087,0.3762803234501348
15,127,5086,0.18466736933473865,0.37426181102362205
16,136,6023,0.1743620242214533,0.3534778875053671
17,161,8370,0.17709579105744377,0.3581780538302277
18,171,9701,0.16823980028042818,0.3403372773017816
19,199,13102,0.16914976894522865,0.34160804020100505
20,210,14929,0.16147392290249435,0.32615662378695554
21,241,19672,0.1613005974415041,0.32540036349919416
22,253,22109,0.15459544751519316,0.3119106159160935
23,287,28518,0.15377751338488993,0.3099593495934959
24,300,31691,0.14787777777777777,0.2980952380952381
25,337,40126,0.14668175294314467,0.2954541464014187
26,351,44173,0.1414558323390232,0.28494884744884746
27,391,55030,0.14004683381191907,0.28193016336969573
28,406,60101,0.1353891140284889,0.2725699277423415
29,449,73812,0.133870863735795,0.2693689680772086
30,465,80069,0.12969591860330676,0.2609811251096036
31,511,97102,0.12813408343258487,0.25772076810176126
32,528,104719,0.12437227387511479,0.25016469038208167
33,577,125103,0.12423519729431803,0.24977061881945153
34,595,134248,0.1207951415860462,0.2428627826969714
35,647,158888,0.12043816544794783,0.24204781803957487
36,666,169757,0.11728169611052491,0.23571097334215774
37,721,199219,0.11676935832302571,0.23460029737091836
38,741,212020,0.11386389257686935,0.22876858328695468
39,799,246906,0.11324308702523961,0.22745306633291615
40,820,261859,0.11056067816775728,0.22207005139478922
41,881,302807,0.10986573661907773,0.220616131431763
42,903,320144,0.10738230752910505,0.21563323827164124
43,967,367828,0.10663851248383843,0.21408975531378466
44,990,387793,0.10433323130292826,0.209464982825225
45,1057,442923,0.1035592781913432,0.20786797173582186
46,1081,465772,0.10141404684907335,0.20356485146737208
47,1151,529094,0.10062379179967407,0.20194094507191815
48,1176,555095,0.09862282498033226,0.19792768424277102
49,1249,627391,0.09782653985478212,0.19629655724579664
50,1275,656824,0.09595601691657057,0.19254533161226872
51,1351,738912,0.09516130004311851,0.19092147390274133
52,1378,772069,0.09340907606783772,0.18740784165551908
53,1457,864803,0.09262151947689168,0.18580185717123615
54,1485,901988,0.09097688444489793,0.1825042710641634
55,1567,1006258,0.09020056697464335,0.1809238373077374
56,1596,1047787,0.08865404425851597,0.17782323686486096
57,1681,1164519,0.08789189885485715,0.17627381923307356
58,1711,1210720,0.08643507595675659,0.17335328850702164
59,1799,1340876,0.08568916521778358,0.17183867580754741
60,1830,1392089,0.08431455104661234,0.16908315501398202
61,1921,1536667,0.08358627525952911,0.16760586344802855
62,1953,1593244,0.08228717933390645,0.16500190505539336
63,2047,1753278,0.08157743444300752,0.16356348467269174
