n,|A|,|A+A|,delta,dup_density
1,1,1,-0.5,0.0
2,3,6,-0.16666666666666666,0.0
3,7,18,0.1326530612244898,0.35714285714285715
4,10,37,0.13,0.32727272727272727
5,17,81,0.21972318339100347,0.47058823529411764
6,21,134,0.1961451247165533,0.4199134199134199
7,31,266,0.22320499479708636,0.4637096774193548
8,36,387,0.2013888888888889,0.4189189189189189
9,49,670,0.22094960433152852,0.4530612244897959
10,55,899,0.2028099173553719,0.41623376623376623
11,71,1460,0.21037492560999801,0.4287949921752739
12,78,1853,0.19543063773833005,0.39857189224277834
13,97,2846,0.19752364757147411,0.4012202819272039
14,105,3471,0.1851700680272109,0.3762803234501348
15,127,5086,0.18466736933473868,0.37426181102362205
16,136,6023,0.17436202422145328,0.3534778875053671
17,161,8370,0.17709579105744377,0.3581780538302277
18,171,9701,0.16823980028042818,0.3403372773017816
19,199,13102,0.16914976894522865,0.34160804020100505
20,210,14929,0.16147392290249432,0.32615662378695554
21,241,19672,0.1613005974415041,0.32540036349919416
22,253,22109,0.15459544751519316,0.3119106159160935
23,287,28518,0.15377751338488996,0.3099593495934959
24,300,31691,0.14787777777777777,0.2980952380952381
25,337,40126,0.1466817529431447,0.2954541464014187
26,351,44173,0.14145583233902323,0.28494884744884746
27,391,55030,0.14004683381191907,0.28193016336969573
28,406,60101,0.1353891140284889,0.2725699277423415
29,449,73812,0.13387086373579496,0.2693689680772086
30,465,80069,0.12969591860330673,0.2609811251096036
31,511,97102,0.1281340834325849,0.25772076810176126
32,528,104719,0.12437227387511478,0.25016469038208167
33,577,125103,0.124235197294318,0.24977061881945153
34,595,134248,0.12079514158604618,0.2428627826969714
35,647,158888,0.12043816544794785,0.24204781803957487
36,666,169757,0.11728169611052494,0.23571097334215774
37,721,199219,0.1167693583230257,0.23460029737091836
38,741,212020,0.11386389257686935,0.22876858328695468
39,799,246906,0.11324308702523962,0.22745306633291615
40,820,261859,0.11056067816775729,0.22207005139478922
41,881,302807,0.10986573661907774,0.220616131431763
